'Page Number,'Type,'Text,'Confidence Score % (Line),
"'1","'LINE","'51.996","'51.54675293"
"'1","'LINE","'$4.94","'59.95715332"
"'1","'LINE","'55.85","'81.97524261"
"'1","'LINE","'58.93","'74.40947723"
"'1","'LINE","'58.70","'84.38716125"
"'1","'LINE","'63.55","'89.51291656"
"'1","'LINE","'65.37","'75.99021149"
"'1","'LINE","'69.72","'81.21462250"
"'1","'LINE","'72.59","'96.82716370"
"'1","'LINE","'74.92","'87.04051971"
"'1","'LINE","'78.96","'89.47883606"
"'1","'LINE","'79.90","'90.54049683"
"'1","'LINE","'83.80","'94.18148041"
"'1","'LINE","'37","'92.88903046"
"'1","'LINE","'38","'66.63424683"
"'1","'LINE","'43","'86.02150726"
"'1","'LINE","'52","'87.81040955"
"'1","'LINE","'53","'87.90267944"
"'1","'LINE","'54","'88.62274933"
"'1","'LINE","'5","'98.86639404"
"'1","'LINE","'Rb","'99.21815491"
"'1","'LINE","'Sr","'99.05034637"
"'1","'LINE","'Y","'89.98624420"
"'1","'LINE","'Zr","'94.75286865"
"'1","'LINE","'Nb","'97.93984985"
"'1","'LINE","'Mo","'98.96504211"
"'1","'LINE","'Te","'74.44993591"
"'1","'LINE","'Ru","'99.37181091"
"'1","'LINE","'Rh","'99.48082733"
"'1","'LINE","'Pd","'98.49629211"
"'1","'LINE","'Ag","'91.96308899"
"'1","'LINE","'Cd","'98.42554474"
"'1","'LINE","'In","'96.57027435"
"'1","'LINE","'Sn","'99.06748199"
"'1","'LINE","'Sb","'99.30185699"
"'1","'LINE","'Te","'96.83753204"
"'1","'LINE","'Xe","'58.07238770"
"'1","'LINE","'85,458","'90.49166870"
"'1","'LINE","'87.62","'90.33561707"
"'1","'LINE","'88.91","'66.68427277"
"'1","'LINE","'91.22","'95.88069916"
"'1","'LINE","'92.91","'95.09147644"
"'1","'LINE","'95.94","'85.46177673"
"'1","'LINE","'(98)","'88.74511719"
"'1","'LINE","'(101.07)","'61.44531250"
"'1","'LINE","'102.91","'86.97225952"
"'1","'LINE","'106.40","'91.16569519"
"'1","'LINE","'107.87","'91.69782257"
"'1","'LINE","'112.47","'96.86802673"
"'1","'LINE","'114.82","'86.40724182"
"'1","'LINE","'118.69","'62.82585144"
"'1","'LINE","'121.75","'98.98696899"
"'1","'LINE","'127.60","'71.50430298"
"'1","'LINE","'126.90","'92.77642822"
"'1","'LINE","'131.30","'99.16354370"
"'1","'LINE","'55","'92.84298706"
